wine number,date,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
87,2023-10-17,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,neutral,white
88,2023-08-05,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,neutral,white
89,2022-07-22,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,neutral,white
90,2022-02-16,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,moderately dissatisfied,white
91,2024-11-10,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,slightly dissatisfied,white
92,2024-10-22,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,slightly dissatisfied,white
93,2024-11-15,6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,slightly satisfied,white
94,2023-06-13,5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,neutral,white
95,2023-04-06,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,neutral,white
96,2023-06-05,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,moderately dissatisfied,white
97,2023-01-17,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,slightly dissatisfied,red
98,2024-01-26,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,neutral,white
99,2023-04-07,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,neutral,red
100,2024-10-09,7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,slightly dissatisfied,white
101,2023-12-14,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,slightly dissatisfied,red
102,2022-11-26,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,slightly satisfied,white
103,2023-05-11,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,neutral,white
104,2024-09-21,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,moderately satisfied,white
105,2023-07-06,9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,slightly dissatisfied,white
106,2024-10-23,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,neutral,white
107,2022-06-22,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,slightly dissatisfied,white
108,2024-02-05,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,slightly satisfied,white
109,2022-06-05,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,moderately satisfied,white
110,2022-02-22,6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,neutral,white
111,2022-04-14,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,neutral,white
112,2024-11-15,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,neutral,red
113,2024-09-05,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,slightly dissatisfied,white
114,2023-10-06,9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,moderately dissatisfied,white
115,2022-07-17,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,slightly satisfied,white
116,2023-08-29,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,slightly dissatisfied,white
117,2023-06-21,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,slightly dissatisfied,white
118,2024-05-05,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,neutral,white
119,2022-01-29,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,neutral,red
120,2023-03-21,8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,moderately dissatisfied,white
121,2022-01-05,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,neutral,white
122,2023-11-23,6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,neutral,white
123,2024-11-09,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,neutral,white
124,2022-12-06,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,neutral,white
125,2024-10-08,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,neutral,white
126,2024-06-22,6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,slightly dissatisfied,white
127,2024-10-20,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,neutral,white
128,2024-04-04,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,neutral,white
129,2023-07-08,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,moderately satisfied,white
130,2024-12-07,9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,slightly dissatisfied,red
131,2023-01-23,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,slightly dissatisfied,red
132,2023-02-23,6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,slightly dissatisfied,white
133,2022-04-14,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,neutral,white
134,2023-03-19,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,neutral,white
135,2022-07-14,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,slightly dissatisfied,red
136,2023-01-13,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,neutral,red
137,2022-09-30,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,neutral,red
138,2024-08-20,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,neutral,red
139,2024-02-03,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,neutral,white
140,2024-12-08,6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,slightly satisfied,white
141,2022-12-15,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,slightly satisfied,white
142,2022-01-23,6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,moderately dissatisfied,white
143,2023-10-06,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,neutral,white
144,2023-12-15,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,neutral,red
145,2023-09-02,7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,neutral,white
146,2024-04-03,4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,neutral,white
147,2024-01-27,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,neutral,white
148,2022-08-14,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,neutral,white
149,2022-03-27,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,neutral,white
150,2024-07-31,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,neutral,white
151,2022-08-18,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,slightly dissatisfied,white
152,2022-10-22,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,neutral,white
153,2023-09-17,6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,slightly dissatisfied,white
154,2023-11-10,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,neutral,white
155,2023-10-16,7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,neutral,white
156,2022-12-05,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,neutral,red
157,2024-11-28,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,slightly satisfied,white
158,2023-05-20,7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,neutral,white
159,2024-02-17,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,neutral,white
160,2022-11-14,6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,neutral,white
161,2022-08-17,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,slightly satisfied,white
162,2024-02-22,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,neutral,red
163,2022-09-24,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,neutral,red
164,2023-04-05,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,moderately satisfied,white
165,2024-12-06,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,neutral,white
166,2023-11-19,5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,slightly dissatisfied,white
167,2023-11-04,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,neutral,white
168,2022-04-01,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,moderately dissatisfied,white
169,2022-04-05,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,slightly dissatisfied,white
170,2022-04-19,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,slightly dissatisfied,white
171,2022-12-22,6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,slightly dissatisfied,white
172,2023-04-01,6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,neutral,white
173,2022-01-10,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,slightly dissatisfied,red
174,2023-04-14,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,slightly dissatisfied,white
175,2023-04-12,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,slightly satisfied,red
176,2023-05-29,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,slightly dissatisfied,red
177,2022-06-25,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,neutral,red
178,2022-08-15,6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,neutral,white
179,2022-06-18,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,neutral,red
180,2023-01-19,8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,neutral,white
181,2022-06-24,7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,neutral,white
182,2024-07-12,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,slightly dissatisfied,white
183,2023-05-21,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,slightly satisfied,white
184,2022-04-26,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,slightly dissatisfied,white
185,2023-01-05,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,slightly satisfied,white
186,2022-06-27,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,slightly satisfied,red
187,2023-10-28,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,slightly dissatisfied,red
188,2022-09-06,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,slightly satisfied,white
189,2023-07-12,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,slightly dissatisfied,white
190,2022-03-04,6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,slightly satisfied,white
191,2022-04-18,7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,neutral,white
192,2024-08-19,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,slightly dissatisfied,red
193,2022-10-02,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,slightly dissatisfied,white
194,2024-10-02,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,slightly dissatisfied,white
195,2023-06-29,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,slightly satisfied,white
196,2023-11-05,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,slightly dissatisfied,red
197,2022-09-22,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,slightly dissatisfied,white
198,2023-07-01,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,neutral,white
199,2024-03-07,7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,neutral,white
200,2023-05-02,8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,neutral,red
201,2022-01-12,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,neutral,white
202,2022-11-08,5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,neutral,white
203,2023-09-20,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,slightly dissatisfied,white
204,2022-09-06,8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,slightly dissatisfied,white
205,2022-03-18,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,slightly dissatisfied,white
206,2023-05-06,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,neutral,red
207,2022-04-22,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,slightly dissatisfied,white
208,2023-02-04,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,neutral,white
209,2024-05-04,7.4,0.33,0.26,2.6,0.04,29,115,0.9913,3.07,0.52,11.8,slightly satisfied,white
210,2023-11-07,8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,slightly dissatisfied,white
211,2022-02-17,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,neutral,white
212,2024-08-26,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,slightly satisfied,white
213,2022-09-27,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,neutral,white
214,2023-06-01,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,neutral,white
215,2024-02-05,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,slightly satisfied,white
216,2023-11-06,6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,slightly satisfied,white
217,2023-10-27,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,neutral,white
218,2022-04-27,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,slightly dissatisfied,red
219,2023-12-10,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,slightly satisfied,red
220,2023-07-31,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,neutral,white
221,2023-07-02,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,neutral,white
222,2022-10-22,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,neutral,white
223,2022-11-03,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,neutral,white
224,2023-09-22,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,neutral,white
225,2023-07-16,7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,neutral,white
226,2022-12-31,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,neutral,white
227,2024-01-22,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,slightly dissatisfied,white
228,2024-06-24,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,moderately satisfied,white
229,2024-11-07,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,slightly satisfied,white
230,2022-08-08,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,moderately satisfied,white
231,2024-03-05,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,slightly dissatisfied,red
232,2022-12-15,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,neutral,white
233,2024-11-21,7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,slightly satisfied,white
234,2024-09-23,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,neutral,white
235,2022-04-05,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,neutral,white
236,2023-12-04,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,moderately dissatisfied,white
237,2024-02-27,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,slightly dissatisfied,white
238,2024-06-17,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,neutral,red
239,2024-08-20,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,slightly dissatisfied,red
240,2024-05-15,6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,slightly dissatisfied,red
